t,cpu_pct,rss_bytes
1788253553.744,0.000,8052736
1788253555.744,0.000,8052736
1788253557.744,0.000,8052736
1788253559.745,0.000,8052736
1788253561.745,0.000,8052736
1788253563.746,0.000,8052736
1788253565.747,0.000,8052736
1788253567.748,0.000,8052736
1788253569.748,0.000,8077312
1788253571.749,0.000,8077312
1788253573.750,0.000,8077312
1788253575.750,0.000,8077312
1788253577.751,0.000,8077312
1788253579.752,0.000,8077312
1788253581.753,0.000,8077312
1788253583.755,0.000,8077312
1788253585.755,0.000,8077312
1788253587.756,0.000,8077312
1788253589.756,0.000,8077312
1788253591.757,0.000,8077312
1788253593.757,0.000,8077312
1788253595.759,0.000,8077312
1788253597.759,0.000,8077312
1788253599.760,0.000,8044544
1788253601.761,0.000,8044544
1788253603.761,0.000,8044544
1788253605.762,0.000,8044544
1788253607.762,0.000,8044544
1788253609.763,0.000,8044544
1788253611.764,0.000,0
